run,group,hit,miss,fa,cr,d,c,h,f,fa_rate_pred,hit_rate_pred,fa_prior_pred,hit_prior_pred
run1,g1,25.0,0.0,11.0,64.0,[2.32785512 1.43298463 1.7679637  ... 1.99473768 1.99473768 1.83104202],"[-0.22636186  0.15884376 -0.17453815 ...  0.28276218  0.28276218
 -0.26761577]",[0.9177795  0.71145781 0.85509079 ... 0.76257394 0.76257394 0.88162253],[0.17423382 0.19069553 0.23902459 ... 0.10024953 0.10024953 0.25852312],[18. 14. 21. ...  9. 12. 17.],[24. 18. 23. ... 17. 17. 23.],"[22.  2. 43. 70. 72. 11. 75. 10. 65.  6.  0. 59.  0. 66. 27. 68. 26.  1.
 63.  2. 72.  4.  9. 28. 19. 74. 75. 16. 11.  1. 75. 74. 47. 51. 74. 57.
 59. 75. 43. 68. 42. 35. 31. 48. 66. 75. 37. 75. 74.  1. 58. 57.  9.  0.
 34. 18. 57. 75. 74. 39. 51. 61. 59.  6. 59. 35. 48.  1. 75. 74. 60. 48.
 43. 33. 75. 10. 43.  0. 75. 69. 33.  6. 75.  0.  0.  0.  4. 75.  0.  4.
 19. 13. 75. 65.  8. 30.  3. 36. 67. 50. 42. 32.  0.  1. 22. 66. 64. 61.
 69. 57. 54. 70. 74. 64. 56. 66.  0. 75. 24.  0. 75. 20.  4. 45.  0.  0.
 74. 24. 25.  5. 75. 27. 72.  0. 12.  3. 75.  0. 75. 14. 72. 61. 40. 62.
 14.  3. 73. 12.  5. 63.  0. 28. 71. 16.  1. 75. 70. 54. 70. 74. 36.  5.
 75. 25. 60.  9. 36. 75. 54. 39. 75. 56. 64. 74. 72. 41. 10. 74. 45.  0.
 49. 75. 17. 50. 72. 75. 61. 66. 73. 31.  0. 75. 75. 29. 29.  2.  0. 33.
 10. 71.  0. 23. 23. 75. 75. 75.  0.  0. 52.  6. 21. 75. 73.  1.  0.  0.
 74. 66.  0. 75. 47.  6. 44. 34. 75. 68. 75.  0.  8. 20. 70. 75.  0. 18.
 75. 67.  0. 18. 58.  7. 66.  2. 67. 72. 13. 70. 74. 20. 68. 39. 10.  0.
 75. 33. 64. 27. 11.  0. 75.  0. 75. 21. 73. 10.  4.  0.  2. 38. 75. 58.
  3. 74. 42. 66.  1. 67. 19. 48. 15. 73.  0. 60. 21.  9.  0. 30.  0.  1.
 15. 40. 61. 75.  1. 10. 72. 26.  0.  0. 18. 75. 57. 14.  0. 58. 27.  9.
  0. 71.  0. 62. 67. 22. 75. 49. 74. 17. 22. 31.  0. 64. 53. 75.  2. 75.
 16. 69. 74.  0. 11.  1. 14. 11. 55. 29. 25. 61. 30.  0.  0. 75.  2. 30.
  0. 42. 21. 55. 66.  2.  0. 21. 38. 59. 74. 73.  1. 24.  3. 75. 33. 25.
 45. 28. 50. 56. 73. 72. 75.  0. 70. 75. 75.  0. 50. 22. 37. 56.  0.  0.
 75. 74. 55. 75. 72.  1.  3. 43.  2.  0. 16. 18.  0.  7.  7.  0. 70. 75.
 73. 26.  2. 19. 17.  0.  0.  1.  0. 69.  2.  0. 73. 66.  0. 59. 54. 72.
 75. 75. 64.  0. 10. 36. 20.  0.  8. 75. 11.  5.  0.  0. 74.  3. 21. 19.
  0. 75.  0. 16. 70.  5.  3.  9. 29. 74. 70. 36. 75.  7. 10. 16. 39. 75.
 67. 48. 72. 13. 10. 33. 44. 41. 36.  2. 43.  4. 54. 61. 75. 75. 65. 65.
 14. 41. 75. 27. 62. 48.  0. 40.  9. 73.  1. 19. 65. 72. 68. 71. 72. 34.
  9. 70.  0. 18. 15. 67.  8. 75.  0. 42. 67.  0.  5. 62.]","[ 8.  0. 12. 21. 13. 13. 25.  1. 22.  1.  0. 16.  0. 18. 14. 25. 17.  0.
 23.  1. 20.  6.  3. 13.  0. 25. 25. 11.  8.  0. 25. 24. 20. 20. 24. 21.
 23. 25. 11. 24. 11. 14.  8. 18. 23. 24. 17. 24. 25.  0. 17. 24.  9.  0.
  3. 15. 21. 25. 24. 14. 18. 25. 15.  1. 23. 18. 22.  1. 25. 25. 19. 21.
 21. 11. 25.  0. 20.  0. 25. 17. 16.  1. 25.  0.  0.  7.  1. 25.  0.  3.
 12. 13. 25. 24.  1.  9.  2. 16. 14.  7. 16.  9.  1.  0. 14. 25. 21. 18.
 16. 20. 22. 25. 25. 24.  9. 21.  0. 25. 20.  5. 25.  7.  5. 19.  0.  0.
 25.  5. 12.  2. 25.  7. 19.  0.  5.  0. 25.  0. 25.  8. 24. 17. 12. 22.
  2.  0. 23.  2.  7. 20.  0.  5. 21.  9.  2. 25. 25. 22. 25. 25. 16.  1.
 25. 19. 14.  1. 14. 25. 21.  7. 25. 21. 23. 25. 20. 18.  8. 24. 21.  0.
 11. 25.  7. 18. 19. 25. 16. 24. 24. 12.  1. 23. 25. 14. 16.  1.  0. 13.
  4. 23.  0. 10.  2. 25. 25. 25.  0.  0.  9.  2.  5. 25. 25.  0.  0.  0.
 25. 19.  0. 25. 13.  8. 10. 17. 24. 23. 25.  0.  0.  4. 25. 25.  0.  8.
 24. 21.  0.  3. 11.  1. 24.  0. 17. 20. 12. 21. 25.  2. 21. 12.  3.  0.
 25.  7. 24. 14.  8.  0. 25.  0. 25. 15. 25.  7.  2.  0.  2. 14. 25. 14.
  6. 25. 16. 25.  0. 25. 12. 17.  6. 25.  0. 24.  6.  1.  0.  8.  0.  0.
  7. 16. 21. 25.  0.  3. 23.  9.  0.  0.  3. 25. 22.  3.  0. 22.  7. 10.
  1. 24.  0.  9. 21.  0. 25. 20. 25.  5. 14. 12.  0. 21. 17. 25.  0. 25.
  7. 18. 25.  0.  4.  0. 13.  6. 22.  6.  4. 19.  5.  0.  0. 25.  0. 13.
  1. 19. 17. 21. 21.  2.  0.  7. 18. 19. 25. 25.  2.  7.  2. 25. 11. 14.
 15. 12. 14. 19. 25. 21. 24.  0. 22. 25. 25.  0. 20. 14.  2. 18.  0.  0.
 23. 21.  8. 25. 25.  0.  2. 24.  1.  1.  7.  7.  0.  4.  4.  0. 22. 25.
 25. 11.  0. 11.  5.  0.  0.  1.  0. 25.  5.  0. 24. 19.  0. 22. 20. 25.
 25. 25. 23.  0.  9.  2. 13.  0.  1. 25.  4.  1.  0.  0. 25.  0. 16.  8.
  2. 25.  0. 10. 22.  3.  1.  4.  5. 25. 25.  5. 24.  6.  3.  9. 12. 25.
 14. 10. 23.  9. 10. 21.  6. 14.  9.  7. 15.  3. 24. 25. 25. 25. 24. 16.
  4. 16. 25. 11. 24. 23.  0. 10.  2. 19.  0.  9. 17. 23. 21. 25. 25.  6.
  0. 23.  0.  0.  2. 22.  1. 25.  0. 17. 22.  0.  7. 21.]"
run1,g2,22.0,3.0,36.0,39.0,[0.95396021 0.830455   0.96555096 ... 1.04890657 1.04890657 0.15779753],"[-0.46290741 -0.26000812 -0.60912239 ... -0.61678646 -0.61678646
 -0.2666856 ]",[0.82636237 0.75023696 0.86256101 ... 0.87311492 0.87311492 0.63517245],[0.49438599 0.43832418 0.55027134 ... 0.53678333 0.53678333 0.57447812],[38. 30. 45. ... 38. 39. 41.],[21. 18. 21. ... 23. 23. 11.],"[29.  7.  3. 72. 75. 48. 48. 47.  2.  3. 75. 22.  5. 25. 61.  8. 35. 75.
 73. 53. 71.  0. 58. 62. 40. 64. 67. 11. 16. 71.  0. 73. 11. 74.  0. 74.
 48. 25. 74. 60. 75. 73. 18.  0. 63. 64.  0. 12.  0.  4. 72.  1. 67. 21.
  0. 12. 30. 44. 52. 37. 44. 74.  0. 58. 61.  0. 66. 70.  0. 13. 46.  0.
 74. 18. 11. 73. 57. 67. 22. 50. 63. 75.  2.  0.  4. 13. 10. 21.  2. 41.
  0. 50. 48.  0.  0. 15. 27. 15. 75. 34.  2.  7. 71.  2. 63. 15.  0. 31.
 70. 44. 75.  0. 34.  8.  3. 50. 22.  0. 19.  2. 15. 28. 17. 71.  5. 74.
  5. 28. 13.  1. 48. 32. 16. 75. 68. 75. 15. 74. 75. 75.  3.  0. 52. 72.
  0.  9.  3. 68. 75. 63.  3. 34. 75.  5.  4.  1.  0. 17.  1.  0. 13.  0.
 33.  1.  0. 71.  0.  0. 43. 75. 54.  0. 66. 32. 75. 19. 75. 75. 39. 10.
 19. 72.  1. 75. 27. 54. 23. 56. 74. 31. 68.  0. 75. 70. 72.  0. 19.  0.
 52. 53.  0. 54. 35.  0. 38. 66. 68. 71.  6.  0. 72.  0. 75.  1.  2.  5.
  0. 72. 10.  4. 75.  0. 74. 11. 62. 10.  0. 52. 73. 23. 11. 28. 21. 75.
 58. 25. 72. 24. 74. 24. 75.  2.  0.  0. 57. 54. 68.  5. 42. 75. 75. 75.
 75. 58. 74. 20. 67.  4. 52.  0. 13. 10.  0.  9. 75. 34. 75. 75.  3. 58.
 70. 15.  0. 43. 17. 69. 10.  0. 75.  1. 75. 23. 72. 48. 52.  0.  2.  0.
  0.  2.  4. 55. 10. 66. 26. 23.  0. 45. 62. 59. 36. 75.  2. 50. 60.  0.
  0. 14. 58.  7. 71. 75. 75. 13.  0. 10. 57. 48. 69. 55. 75. 30. 70. 31.
 73.  0.  2. 25. 69. 25. 67. 75. 23.  9. 14. 30. 55. 36. 73. 66. 72. 66.
  2. 12.  6.  3.  2. 74. 11. 60. 73. 12.  0.  0. 74. 75. 40. 49. 45.  0.
 15. 73.  5. 43. 75. 75. 49. 13. 74. 31. 72. 55. 63.  0. 25. 61.  7. 21.
  1.  0.  2. 33.  0. 74. 73.  4. 75.  8. 37. 22. 61. 46. 75. 74. 38. 24.
 31.  0.  0. 34. 61. 59.  0.  4.  0. 75. 75. 12. 47. 38.  9. 52. 54. 61.
 44. 75. 72.  1.  3.  0. 75. 62. 74. 28. 75. 66. 75. 71.  6. 72. 14. 49.
  2. 28. 75.  0. 74. 33. 75. 75.  1. 75. 69. 60. 59. 47. 75. 34.  6. 16.
 22. 12. 25. 73. 70.  8. 31. 66.  0.  0. 74.  4. 75.  0. 45.  5. 53. 14.
 70. 35.  4.  0.  0. 75. 26. 15.  2.  0.  1.  0. 74. 16.  4. 23. 68. 75.
  0. 74.  3.  0. 61. 20. 75.  0. 70.  0. 16. 74. 14. 75.]","[14.  2.  0. 24. 25. 14. 11. 21.  0.  6. 25.  1.  0.  9. 15.  1. 21. 25.
 21. 13. 21.  0. 14. 16.  5. 22. 20.  3.  4. 25.  0. 25. 11. 24.  0. 25.
 11. 10. 24. 24. 22. 25. 17.  0. 21. 23.  0.  0.  0.  0. 25.  1. 19.  9.
  1. 13.  7. 19. 15. 17.  6. 25.  0. 18. 14.  0. 21. 24.  0.  1. 20.  0.
 25.  2.  2. 21. 14. 25.  4.  9. 25. 22.  1.  0.  0. 18.  0.  1.  0. 10.
  0. 20. 17.  0.  0.  4.  3.  2. 25. 15.  1. 10. 25.  0. 10.  5.  0. 16.
 25. 10. 25.  0. 13.  1.  1. 13.  7.  0. 13.  0.  0. 16. 13.  8.  1. 24.
  3. 14.  5.  2. 18. 13.  8. 25. 20. 25.  6. 24. 25. 25.  2.  0. 24. 25.
  0.  3.  0. 21. 25. 25.  0. 10. 21.  1.  2.  1.  0.  7.  2.  0.  9.  0.
  7.  1.  1. 24.  0.  0.  4. 25. 23.  0. 22. 12. 25.  5. 25. 24. 10.  8.
  6. 14.  0. 25.  5. 15. 11. 19. 25. 18. 21.  0. 25. 24. 23.  0. 15.  0.
 14. 14.  0. 17. 12.  0. 12. 18. 25. 23.  1.  0. 22.  0. 25.  2.  0.  2.
  2. 24.  1.  0. 25.  0. 25.  3. 17. 11.  0. 22. 25.  6.  5.  9.  2. 25.
 19. 12. 25. 14. 23. 11. 25.  2.  0.  0. 11. 15. 21.  1. 14. 25. 25. 25.
 25. 22. 20.  1. 24.  5. 23.  0.  6.  4.  0.  2. 25. 11. 25. 25.  9. 20.
 13.  5.  0. 14.  4. 22.  3.  0. 25.  0. 21.  8. 24. 13.  3.  0.  1.  0.
  0.  5. 10. 23. 10. 17.  6.  8.  0. 14. 24. 24. 23. 25.  0. 14. 14.  1.
  0.  7. 15.  1. 25. 25. 25. 17.  0.  0. 19. 15. 21. 17. 25. 10. 20.  4.
 24.  0.  0.  7. 11. 13. 19. 25. 13.  0.  2.  8. 18. 12. 22. 25. 24. 25.
  4. 11.  3.  4.  6. 23.  3. 18. 25.  7.  1.  0. 25. 25. 17. 14. 14.  0.
 10. 23.  3. 16. 25. 24. 24.  8. 24. 14. 21. 16. 22.  0. 21. 20.  0.  8.
  0.  0.  0. 12.  0. 24. 20.  0. 25.  2. 16. 18. 18.  7. 25. 25. 16.  2.
 17.  0.  0. 15. 14. 19.  0.  2.  1. 25. 25.  3. 18. 11.  0. 16. 21. 24.
 10. 25. 23.  1.  3.  0. 25. 23. 24.  6. 25. 16. 24. 21.  0. 23.  7. 21.
  2.  7. 25.  0. 23.  5. 25. 23.  0. 25. 23. 24. 19. 12. 25. 12.  2. 10.
 13.  9.  8. 25. 22.  7.  5. 24.  0.  0. 25.  0. 25.  0. 13.  7. 18.  2.
 23. 10.  6.  0.  0. 25. 10.  3.  2.  0.  0.  0. 24.  8.  0.  7. 22. 21.
  1. 25.  1.  0. 20.  7. 25.  0. 25.  0.  4. 25.  0. 24.]"
run2,g1,23.0,2.0,9.0,66.0,[1.4935136  1.23336538 1.74264219 ... 1.55345523 1.91270465 1.35484555],[0.14668329 0.43022959 0.04700095 ... 0.22943496 0.12335331 0.14768367],[0.72559005 0.57393384 0.79414825 ... 0.70599977 0.78996351 0.701805  ],[0.18701913 0.15028754 0.17970582 ... 0.15717217 0.14019793 0.2130051 ],[14.5 14.  16.5 ...  9.5 14.  18. ],[16.5 14.5 17.5 ... 17.5 19.  20. ],"[30.5 41.  66.5 41.  59.  66.  11.   1.  32.5 59.5 34.5 37.  56.  24.
 73.5 40.5 51.  37.5 66.  47.  13.5 73.5 71.5 32.  15.5 54.  73.  64.5
 20.5 35.  39.  37.5 12.   6.5 37.5 25.5 37.5 66.5 44.  49.5 34.5  3.5
 45.5 30.5 67.5 39.5 43.  37.5 43.5 55.  38.5 49.  60.  31.5 11.5 48.5
 18.5 20.5 46.  39.  36.5 50.  71.  11.5 30.5  4.  51.5 56.5 31.5 37.
 37.5 53.5 47.5 12.5 25.5 65.  47.5 58.5 39.  74.5 69.  27.5 73.5 37.5
 37.  26.  20.  28.5 62.5 39.5 34.5 65.   0.5 74.5 40.  32.  71.  56.5
 40.   3.  30.  44.  37.5 41.  37.5 28.  28.5 69.  39.  37.   0.5 63.5
 36.5 44.5 36.  29.5 73.5  3.5 41.5 12.   0.  74.5 56.5  1.  30.  73.
 19.   5.  52.5 54.  24.5 67.  28.5  4.   0.   1.5 63.  51.  55.5 74.5
 60.5 16.5 40.5 66.  16.5 75.  34.  36.  13.  38.5 36.  25.  40.  17.
 15.  54.  29.  29.  22.5 64.  40.  41.5 35.  36.  48.  53.  31.5 41.
 17.  28.  37.5  7.5 71.  23.  58.  66.5 37.5 50.  39.  74.5 41.5  0.
 66.  43.  33.5 31.   1.  72.  44.5 69.  38.5 36.  41.   6.5 54.  60.
 12.5  3.5 75.   2.5  5.  31.5 72.5 46.5 43.5 38.5 20.5 48.5 46.  57.5
 36.5 24.5 17.  37.  43.5 43.5 42.  18.  74.  73.5 53.  68.  46.  62.
 66.5  2.  69.  32.   8.   8.5 50.  53.  31.  41.  67.  55.  35.   9.5
 75.  70.5  9.5 54.5 37.5 28.5 49.  37.  52.5 69.5 67.5 26.  49.5 36.
 15.5 48.5 48.5 52.5 44.5 41.  33.   0.  40.  45.5 37.5 72.  59.5 12.5
 46.5 31.5 36.  32.  31.5  8.5 24.5 31.5  9.  70.5 63.   1.5 31.5 64.5
 29.5 41.  66.5 29.5 34.  74.5 56.5 67.5 34.  37.5 26.5 17.  50.5 70.
 25.5 37.5 10.5 39.  20.  32.  32.5 38.5 20.  37.  25.5 61.  61.  73.5
 38.  41.5 37.5 29.  68.  60.5 40.  31.  37.5 38.   9.  16.  48.  36.5
 50.  36.   9.5 69.  25.5 15.  73.5 25.5 48.   9.5 20.  50.  38.  20.5
 73.  37.5 72.5 45.5 75.  38.5  0.  42.  27.5 74.5 35.5 22.  43.  40.
 34.5 14.5 56.5 37.  32.5 35.5  8.5 69.  13.  64.5 46.5 35.  41.5 57.
 23.  34.  61.  17.5 35.5 35.5 68.   1.5 39.   6.5 37.  19.5  8.  37.
 28.5 26.5 25.  69.   3.  45.5 35.5 20.  66.5 51.5 70.  17.5 75.  47.5
 68.  22.  19.5 37.5 11.5 32.  62.  48.5  7.  33.  73.  57.  56.  27.
 17.  34.  62.5 37.5 29.  37.5  0.5 43.5 51.  32.5 75.  32.  26.  10.
 65.5 24.  42.5  1.  73.  23.5 60.5 37.5 39.5 47.5 41.  38.  44.5 69.5
 49.  63.5 29.  32.  51.  56.5 38.  29.   9.5 46.5 69.  75.  56.  38.
 25.5 74.5 61.5 48.5 55.  46.   0.5  8.5 44.5  1.  54.  42.  37.5 19.5
 74.  42.5 27.  40.5 36.   0.  65.  53.5 14.5  1.5 33.5 11.   9.5 48.5
 39.5 28.  15.  65.5 37.  49.5 52.5 41.5  2.  67.5 34.5 39.  37.5 30.5
  9.5 75.  41.5 37.5 19.5  0.5  0.5 43.  44.5 70.5]","[ 8.  13.5 17.  12.5 24.  19.5 10.5  0.   7.5 16.5 11.5 12.5 22.5  9.
 21.5 17.5 16.5 12.5 24.5 16.5  5.  22.5 17.  12.5  9.  19.5 22.  16.
  7.  12.5 10.  13.   3.   0.  12.5  5.5 12.5 23.  13.  17.   5.   0.
 15.  10.  23.  14.  14.  12.5 18.  18.5 13.  17.5 20.5 15.5  4.  19.5
  5.   8.5 20.5 13.  11.  14.5 24.   2.   5.5  1.  11.5 18.5 19.5 12.5
 13.  16.5 13.   7.5  5.5 20.  18.5 17.  12.5 25.  23.5 13.  25.  12.5
 12.5 11.   5.5 14.  20.5 15.  12.  23.   1.  25.  14.5 10.  25.  19.
 13.   0.5 14.  14.5 12.  14.  12.5  6.  11.  24.5 15.  11.5  2.5 21.5
 12.  15.  16.   9.5 25.   0.  14.   5.   0.  24.5 19.   1.   7.5 25.
  6.   1.5 17.5 15.   5.  24.   9.   2.   0.   0.  20.  18.  17.5 25.
 15.5 12.  13.5 23.   4.5 25.  11.5 12.   4.  12.  11.   4.5 14.   2.
  6.  17.   7.  11.5  7.  23.5 10.  13.  16.5 12.  11.5 14.5 10.  10.
  8.  11.  12.5  3.5 20.5  9.  18.  24.  12.5 22.  13.5 24.  18.   0.
 14.  14.5 15.  12.5  0.  22.  11.5 17.  12.5 14.  14.   7.  18.  16.
  2.   0.5 25.   0.5  1.5  9.5 23.  14.5 13.5 12.5 11.5 20.  13.  19.
 13.  11.  10.5 11.  14.  15.5 14.   5.  24.  24.  15.5 22.5 17.  22.5
 22.5  2.  21.5 14.   1.5  2.5 13.5 17.   8.5 15.  22.  20.  11.5  1.5
 24.  24.   6.  17.5 12.5 10.  18.5 11.5 17.5 22.5 24.5  7.  16.   5.5
  5.5 16.  12.5 18.   8.  12.   9.5  0.  16.5 12.5 10.  25.  23.5  6.
 16.5  8.5 11.  12.5  8.   9.5 12.   8.   2.5 19.  20.5  0.5  6.  19.
  6.  14.5 20.  12.5 12.  23.  21.  17.5 12.  14.  10.5  7.  16.  23.
  9.  12.5  4.5 13.5  5.5 12.  10.5 12.5  6.  14.  11.  19.  20.  24.5
 12.5 15.  12.5  9.  22.  17.5 13.   9.  12.5 13.   1.  15.5 18.  10.
 16.  12.5  5.  22.5 11.5  5.  23.   6.5 16.5  9.  12.5 15.  12.5 11.
 24.  12.5 25.  15.5 21.5 12.5  0.  15.5 12.5 24.  10.   8.  15.  11.
 12.   6.5 19.5 13.5 12.  12.5  0.  23.   6.5 23.  17.5 12.  19.5 19.5
  6.  10.5 20.5 10.5 11.   9.  25.   2.5 15.   0.5 11.5  6.5  3.  16.
  7.5  6.5  6.  23.   0.5 19.5 12.   9.5 24.   9.5 22.5  8.  25.  11.
 24.   9.   9.5 13.5  4.5  9.  17.  19.   1.   9.  24.  18.5 16.5 12.
  4.  11.5 19.  11.  11.  12.5  2.  10.5 18.  11.  24.5 11.5  3.5  3.
 23.  12.5 12.5  0.  24.   3.5 17.5 14.5 13.  19.5 14.  13.  15.5 22.
 18.  22.5 10.5 13.  14.5 18.5 13.   9.5  1.5 13.5 22.5 25.  10.  10.
  8.  23.5 14.5 16.5 18.5  9.5  0.   3.5 16.5  0.5 16.5 17.5 14.  10.
 25.  15.  12.  18.  12.   2.  22.  11.5  5.   0.  10.   2.5  6.   9.5
 15.5  9.   0.5 23.  11.  19.5 18.5 13.   1.5 18.  11.  13.  12.5  7.5
  4.  25.  15.  12.5  7.   1.5  2.5 15.5 19.5 23. ]"
