,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"h[0,14]",0.7967,0.0714,0.6855,0.9134,0.0005,0.0004,17258.432,5505.9699,1.0021
"h[0,15]",0.7741,0.0746,0.6518,0.8948,0.0006,0.0004,16600.4796,5451.4638,1.0007
"h[0,16]",0.8302,0.0677,0.7245,0.938,0.0005,0.0004,16344.6055,5063.8367,1.0013
"h[0,17]",0.7084,0.0823,0.5753,0.8449,0.0006,0.0005,16889.2432,5834.7105,1.0002
"h[0,18]",0.7772,0.074,0.6561,0.8935,0.0006,0.0004,18038.0421,5681.104,1.001
"h[0,19]",0.8137,0.0709,0.7041,0.9292,0.0006,0.0004,16362.0249,4925.1636,1.0023
"h[1,0]",0.7953,0.0724,0.6892,0.9204,0.0006,0.0004,17723.2091,5499.5166,1.0006
"h[1,1]",0.7892,0.0727,0.6762,0.9107,0.0006,0.0004,16952.6986,5594.7565,0.9999
"h[1,2]",0.8407,0.064,0.7457,0.9454,0.0005,0.0004,14319.0237,5618.3802,1.0011
"h[1,3]",0.7734,0.075,0.6586,0.8992,0.0006,0.0004,17168.3458,5163.4059,1.0012
"h[1,4]",0.7266,0.078,0.6017,0.8556,0.0006,0.0004,15618.2489,6113.6436,1.0005
"h[1,5]",0.7243,0.0781,0.601,0.8584,0.0006,0.0005,14509.6457,5883.4604,1.0013
"h[1,6]",0.783,0.0726,0.6688,0.9042,0.0006,0.0004,15617.084,5087.9298,1.0002
"h[1,7]",0.8368,0.0643,0.7355,0.9394,0.0005,0.0004,17390.3519,6053.8938,1.0003
"h[1,8]",0.6081,0.0845,0.4689,0.7453,0.0007,0.0005,14715.7043,5359.1026,1.0017
"h[1,9]",0.7013,0.0811,0.5763,0.8421,0.0006,0.0004,17063.1988,5553.6165,1.0002
"h[1,10]",0.6755,0.0811,0.5419,0.8091,0.0006,0.0004,16700.6949,5754.7601,1.0002
"h[1,11]",0.8421,0.0629,0.7491,0.9433,0.0005,0.0004,15620.0024,5949.1973,1.0007
"h[1,12]",0.6745,0.0836,0.5406,0.814,0.0006,0.0004,17699.5262,6050.9944,1.0007
"h[1,13]",0.7332,0.0773,0.6126,0.8652,0.0006,0.0005,15064.8942,6023.1537,1.0004
"h[1,14]",0.8282,0.0666,0.7286,0.9403,0.0005,0.0004,17791.7569,5842.6304,1.0016
"h[1,15]",0.8049,0.07,0.6942,0.9157,0.0005,0.0004,19170.5653,5979.2839,1.0005
"h[1,16]",0.7294,0.0782,0.5999,0.8526,0.0006,0.0004,16852.3611,5611.9685,1.0005
"h[1,17]",0.7902,0.0714,0.6769,0.9084,0.0006,0.0004,14895.3714,5482.2982,1.0007
"h[1,18]",0.8074,0.0695,0.6992,0.9217,0.0006,0.0004,15502.9039,5961.2322,1.0008
"h[1,19]",0.8157,0.0675,0.7173,0.9308,0.0006,0.0004,14556.6861,5357.6634,1.0002
"f[0,0]",0.1664,0.0409,0.0996,0.232,0.0004,0.0003,13494.0371,5456.9551,1.0002
"f[0,1]",0.1949,0.0445,0.1208,0.2647,0.0004,0.0003,12191.0855,5389.4274,1.0006
"f[0,2]",0.2007,0.0444,0.1245,0.2691,0.0004,0.0003,11040.3479,5358.8916,1.0008
"f[0,3]",0.2348,0.0465,0.1579,0.3092,0.0004,0.0003,11543.4988,5384.149,1.001
"f[0,4]",0.14,0.039,0.0768,0.2027,0.0004,0.0003,10044.7392,5373.8525,1.0021
"f[0,5]",0.2472,0.0477,0.1701,0.3251,0.0005,0.0003,11083.8833,5161.64,1.0004
"f[0,6]",0.2037,0.0457,0.1315,0.2791,0.0005,0.0003,9851.6106,4772.0191,1.0
"f[0,7]",0.2222,0.0463,0.1501,0.2986,0.0004,0.0003,11119.3632,5624.714,1.0001
"f[0,8]",0.2855,0.0515,0.1986,0.3677,0.0005,0.0004,9525.2673,4793.6449,1.0014
"f[0,9]",0.159,0.0408,0.0936,0.2252,0.0004,0.0003,11654.5617,5757.6697,1.0014
"f[0,10]",0.1489,0.0394,0.0845,0.212,0.0004,0.0003,11939.8014,5607.8725,0.9998
"f[0,11]",0.1305,0.0385,0.0673,0.1907,0.0003,0.0003,13167.0765,5139.1775,1.0017
"f[0,12]",0.2049,0.0449,0.1319,0.2778,0.0004,0.0003,11256.0007,4998.5616,1.0009
"f[0,13]",0.1365,0.0388,0.0728,0.1981,0.0004,0.0003,11740.9128,4888.0364,1.0013
"f[0,14]",0.1875,0.0439,0.1156,0.2582,0.0004,0.0003,11109.2418,5483.739,1.0
"f[0,15]",0.2226,0.0465,0.1511,0.303,0.0004,0.0003,10955.0123,5162.1862,1.0008
"f[0,16]",0.1913,0.0434,0.1179,0.2586,0.0004,0.0003,9311.3895,5174.7185,1.0004
"f[0,17]",0.2166,0.0467,0.1383,0.2901,0.0004,0.0003,12856.9471,5038.0037,1.0013
"f[0,18]",0.2356,0.0469,0.1615,0.3147,0.0005,0.0003,10643.5943,4980.3915,1.0002
"f[0,19]",0.2514,0.0483,0.1756,0.3325,0.0005,0.0004,10314.1846,5381.3868,1.001
"f[1,0]",0.4948,0.0544,0.4049,0.5827,0.0006,0.0004,9322.3163,5413.0053,1.0012
"f[1,1]",0.628,0.0531,0.5442,0.7191,0.0005,0.0004,9652.4153,5528.037,1.0006
"f[1,2]",0.5729,0.0541,0.4854,0.6639,0.0005,0.0004,9822.1209,5653.4664,0.9999
"f[1,3]",0.5422,0.0548,0.4528,0.631,0.0006,0.0004,9424.1347,4617.4767,1.0005
"f[1,4]",0.4516,0.0559,0.3572,0.5404,0.0006,0.0004,9056.8795,5008.6042,1.0009
"f[1,5]",0.4389,0.0551,0.3457,0.5275,0.0006,0.0004,9382.1168,4874.7959,1.0003
"f[1,6]",0.4203,0.0541,0.3298,0.5075,0.0005,0.0004,10231.818,4993.9267,1.0009
"f[1,7]",0.549,0.0555,0.4508,0.6334,0.0006,0.0004,9073.9784,5679.9869,1.0003
"f[1,8]",0.4899,0.0561,0.4023,0.5875,0.0005,0.0004,12630.1663,5140.817,1.0001
"f[1,9]",0.4866,0.0546,0.3953,0.5735,0.0005,0.0004,10305.0504,5450.1247,1.0005
"f[1,10]",0.5201,0.0545,0.4303,0.61,0.0005,0.0004,10565.0311,5268.9935,1.0017
"f[1,11]",0.5865,0.0553,0.4908,0.6739,0.0006,0.0004,9758.6643,5067.255,1.0021
"f[1,12]",0.5076,0.0558,0.4179,0.6012,0.0005,0.0004,10536.0945,5199.0048,1.0001
"f[1,13]",0.4885,0.0557,0.3941,0.5791,0.0006,0.0004,9719.4553,4853.9683,1.0002
"f[1,14]",0.4989,0.0543,0.4102,0.5886,0.0006,0.0004,8895.7431,5558.1604,1.0015
"f[1,15]",0.5446,0.0543,0.4556,0.6326,0.0006,0.0004,8536.95,5240.6935,1.001
"f[1,16]",0.4758,0.0546,0.39,0.5684,0.0006,0.0004,9107.1133,5232.7065,1.0005
"f[1,17]",0.4582,0.0562,0.3707,0.5528,0.0006,0.0004,10422.4286,5036.295,1.0006
"f[1,18]",0.5579,0.0554,0.4702,0.6503,0.0006,0.0004,9424.0836,5250.9326,1.0004
"f[1,19]",0.6089,0.0551,0.5221,0.7032,0.0005,0.0004,10243.0753,4459.6982,1.0001
