,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"f[1,31]",0.502,0.0536,0.4123,0.5872,0.0004,0.0003,17514.9642,6047.0311,1.0001
"f[1,32]",0.4396,0.0525,0.3526,0.5242,0.0004,0.0003,17490.5858,6347.8122,1.0005
"f[1,33]",0.5251,0.0529,0.4408,0.6119,0.0004,0.0003,20083.1652,5397.2742,1.0003
"f[1,34]",0.4613,0.0539,0.3744,0.5519,0.0004,0.0003,15413.9872,5554.1351,1.0015
"f[1,35]",0.3764,0.0507,0.2919,0.458,0.0004,0.0003,16225.544,6414.8069,1.0001
"f[1,36]",0.4391,0.0528,0.3551,0.5286,0.0004,0.0003,13779.0285,6103.7431,0.9999
"f[1,37]",0.4469,0.0522,0.3637,0.534,0.0004,0.0003,17835.7673,5981.1437,1.0002
"f[1,38]",0.4983,0.0523,0.4147,0.5856,0.0004,0.0003,19836.2079,5939.4125,1.0014
"f[1,39]",0.5382,0.0524,0.4547,0.628,0.0004,0.0003,16980.7485,5824.8522,1.0001
"f[1,40]",0.5385,0.0541,0.4491,0.6257,0.0004,0.0003,15099.0426,6063.5871,1.001
"f[1,41]",0.4722,0.0536,0.3832,0.5605,0.0004,0.0003,16876.4647,5827.933,1.0017
"f[1,42]",0.4006,0.052,0.3192,0.4895,0.0004,0.0003,18958.6405,5832.4485,1.0002
"f[1,43]",0.5599,0.0531,0.4718,0.6462,0.0004,0.0003,19558.5826,6243.0656,1.0005
"f[1,44]",0.4187,0.0516,0.329,0.4995,0.0004,0.0003,15516.7631,5826.0765,1.0014
"f[1,45]",0.4861,0.053,0.4025,0.5748,0.0004,0.0003,18460.4862,6299.8528,0.9998
"f[1,46]",0.497,0.0542,0.4081,0.5862,0.0004,0.0003,18932.8722,6144.9838,0.9998
"f[1,47]",0.5144,0.0522,0.432,0.6046,0.0004,0.0003,18624.3832,6055.0721,1.0
"f[1,48]",0.5252,0.0538,0.4411,0.6181,0.0004,0.0003,17592.0932,6073.5368,1.0016
