run,group,hit,miss,fa,cr,d,c,h,f,fa_pos_pred,hit_pos_pred,fa_prior_pred,hit_prior_pred
run1,g1,25.0,0.0,11.0,64.0,[3.02541044 2.97057535 3.24343027 ... 2.89248041 3.2159311  3.13391148],"[-0.17082631 -0.35682526 -0.33006141 ... -0.37591011 -0.55114711
 -0.27914249]",[0.95386388 0.96727069 0.97451763 ... 0.96578391 0.98457929 0.96756103],[0.08981763 0.12956234 0.09823854 ... 0.14223537 0.14529723 0.09890549],[ 8. 11.  9. ... 15. 12.  4.],[25. 24. 25. ... 25. 23. 23.],"[38. 47. 39. 17. 51. 55. 74. 29. 38. 59. 26. 53.  1. 45. 49. 36. 28. 12.
 47. 16. 49. 31. 28. 33. 36. 70.  9. 44. 18. 27. 74. 73. 23. 13. 59. 59.
 45.  0. 32. 29. 45. 37. 29. 49. 44. 44. 35.  5. 75. 67. 14. 44. 17. 54.
 36. 31. 42. 52. 19. 35. 37. 67. 33. 43. 12. 36. 50. 70.  0. 75. 37. 36.
 35. 33. 47. 17. 45. 73. 13. 18. 51. 16. 64.  4. 51. 17. 41. 64. 72. 25.
 12. 29. 52. 24. 43. 38. 47. 41. 35. 31. 26. 24.  9.  2. 11. 28. 33. 30.
 58. 57.  6. 39. 33. 38. 41. 34.  0. 75. 33. 19. 72. 40. 30. 53. 21. 51.
 12. 15. 27. 64. 31. 46.  8. 22. 34. 18. 43. 49. 51. 51. 39. 48. 28.  1.
 30. 48. 54. 60. 41. 52. 75. 24.  2. 44.  9. 37. 14. 70. 64.  3. 10. 26.
 10. 52. 23. 19. 50. 75. 50. 68. 59. 18. 59. 41. 38. 50. 31. 75. 32.  8.
 26. 53. 22. 38. 30.  0. 18.  9.  8. 48. 46.  2. 65. 42. 25. 35. 58. 38.
 53. 66.  1. 28. 39.  0. 23.  1. 52. 24. 36. 74. 29. 25. 25.  3.  0. 46.
 36. 20.  7. 62. 37. 17. 17. 41. 21. 18.  1. 20. 47. 75. 70. 74. 75. 21.
  0. 20. 20. 13. 27. 35. 37. 75. 28. 32. 36.  6. 14. 66. 56. 42. 30. 12.
 36. 41. 53. 23. 57. 39. 75.  0. 75. 45. 62. 44. 30. 74. 37. 37. 37. 53.
 37. 61. 20.  6.  3. 15. 17. 31. 17.  4. 54. 32. 30. 53. 38. 19.  0. 27.
 47. 36. 69. 66. 53. 31. 43. 37. 44. 25. 32.  3. 57. 56. 48. 33. 40. 50.
 27. 37. 42. 42. 30. 55.  0. 37. 10. 26. 34. 23. 75. 59. 39. 51. 43. 42.
 17. 43.  1. 18. 61. 73. 50. 49. 34. 56. 40. 47. 14. 16. 75. 13.  2. 21.
 15. 32. 19. 30. 48. 12. 74. 25. 37. 72. 12. 72. 36. 47. 22. 68. 54.  1.
 37. 39. 42. 55.  0. 21. 57. 63. 15. 39. 30.  9. 52. 37. 27. 42. 62. 42.
  8. 59. 39. 52. 23.  0. 20. 15. 26.  1. 19. 46. 12. 56. 34. 28. 26.  9.
 51. 44. 73. 56. 70.  1. 69. 30. 34. 28. 12.  8. 15. 53.  5. 24. 53. 54.
  4.  0. 57. 72. 29. 50. 60.  3. 18. 70. 16. 51.  0. 13. 14. 60. 38. 19.
 41. 34. 69. 46. 70. 40. 49. 30. 40.  2. 11. 23.  6. 55.  3. 55. 35. 43.
 39. 17. 35. 64. 44. 24. 49. 31. 39. 40. 33. 29. 65. 61. 72. 71. 21. 15.
 41. 42. 75. 32. 51. 10. 63. 32. 66. 62. 75. 27. 42. 11. 53. 29. 74. 32.
 47.  8.  1. 35. 47. 42. 46. 66. 36. 40. 25. 68. 33. 65.]","[16. 19. 11.  5. 12. 19. 15.  6.  1. 22. 11. 14.  5.  7.  7. 10. 13.  2.
 19. 25.  6. 11.  9. 13.  1. 23.  5. 13. 17.  0. 25. 23. 19. 18. 13.  5.
 14.  0. 17. 12.  7. 11. 15. 18. 13.  7. 13.  1. 15.  9.  4. 16. 15. 18.
 16.  6. 16.  5.  7. 10. 12. 25.  3. 16. 15. 14. 11. 11.  0. 25. 10. 13.
 20. 14. 24.  3. 11. 23. 14.  2.  8.  0. 24.  2.  8.  8. 24. 21. 22.  9.
 17. 16. 17. 13.  8.  7. 17. 10. 14. 12. 10.  8. 24. 12. 25. 10. 10. 14.
 11. 19. 14. 17. 13. 16. 10.  9.  0. 25.  8. 19. 25.  4. 25.  5. 11. 16.
  3.  3. 14. 16. 11. 13.  9. 11.  7. 14. 12.  6. 18. 15. 16. 17. 15. 24.
 20. 16. 14. 20.  2.  8. 24. 14. 12. 11. 11. 13.  3. 17.  2.  0. 16. 23.
  4.  4. 13. 12. 13. 24. 22.  1. 25. 25. 11.  9. 12.  9. 11. 25. 22.  1.
 10. 18. 17. 13.  8.  0. 14.  7.  0. 11. 11.  0. 21. 12. 16.  9.  0. 11.
  0. 21.  8. 12.  5.  0.  9.  0. 12.  3. 17.  0. 16. 10.  9.  4.  0. 25.
 11. 17.  3.  5.  8.  9. 20.  9. 21. 13. 12.  5.  9.  0. 24. 25. 24.  7.
  1.  7. 23. 15. 16.  0. 14. 10. 19. 22. 13. 21.  5.  0. 18. 14. 21. 11.
 15. 14. 16. 18. 19. 22. 25.  4. 25. 15. 20. 16.  9. 25. 17. 14. 10.  9.
  9. 21. 22.  0.  4.  6. 13.  7. 16.  3.  7. 16. 13. 21. 13. 23.  0. 14.
 17. 15. 16. 24.  2. 12. 14. 10. 22.  5.  3. 13. 17. 10. 13. 15. 13.  5.
 20. 11. 22. 12.  2.  9.  1.  9.  5. 11. 18. 16. 25.  3. 15. 20. 15. 17.
 12.  3. 22. 14. 11. 24. 11. 20.  7. 12. 14.  2. 10.  2. 25.  7.  1. 20.
  5.  9. 18. 23. 15.  3.  0. 11. 14. 15.  8. 22. 13. 15. 12. 20. 11. 25.
 13. 12.  7.  2.  0.  6. 16. 25.  1. 18.  7.  1. 13. 15. 18. 13. 25. 19.
  3. 19. 10. 13.  0. 22.  9. 16. 16.  1. 24. 10. 12. 17. 20.  5.  7. 10.
 13. 11. 25.  3. 24.  3. 23.  9.  0.  9.  3.  8.  2. 12.  5.  2. 17. 21.
  1.  1. 16. 23. 12. 19.  0.  0.  5. 22.  5. 16.  0.  5.  2. 12. 10.  7.
  2. 12. 23. 15.  2.  8. 18. 11.  8.  2.  9. 12.  3. 18.  5. 15. 16. 12.
 15. 21. 13.  3. 19. 11. 10. 11. 12. 10. 12. 12.  5. 10. 25. 11. 10. 18.
  6. 11. 25. 18. 11. 11. 18. 11. 15. 14. 24. 13. 15. 14. 11. 13.  7. 15.
 10.  1.  3.  6.  6. 13. 19. 21.  2. 12.  4. 24. 19. 19.]"
run1,g2,22.0,3.0,36.0,39.0,[1.03970263 1.35560986 1.42385846 ... 0.69815053 1.76499663 1.89813893],"[-0.41833092 -0.5645972  -0.6064606  ... -0.43104513 -0.68249892
 -0.69425908]",[0.82592462 0.89295589 0.90631341 ... 0.78234    0.94120822 0.94984252],[0.45956868 0.45493293 0.45800198 ... 0.53266466 0.42074053 0.39943478],[30. 35. 34. ... 44. 31. 26.],[23. 24. 21. ... 18. 24. 23.],"[32. 47. 39. 10. 54. 39. 54. 47. 49. 55. 19. 52.  2. 43. 36. 33. 35.  5.
 60. 19. 61. 16. 31. 60. 54. 64. 35. 32. 17. 20. 75. 62. 40. 30. 70. 51.
 38. 35. 73. 34. 51. 74. 33. 59. 38. 38.  7. 15. 70. 72.  1. 62.  2. 45.
 35. 25. 33. 42. 26. 45. 56. 73.  1. 12. 19. 23. 45. 73.  0. 75. 37. 61.
 47. 35. 48. 17. 33. 74. 29. 34. 44. 15. 67.  5. 33.  7. 35. 34. 51. 29.
 63. 42. 21. 13. 57. 36. 39. 28. 70. 42.  3.  1. 24. 12. 16. 35. 24. 41.
 66. 39.  0. 54. 39. 42. 32. 10. 51. 68. 40. 42. 60. 56. 41. 35. 41. 29.
 28. 40. 19. 66. 29. 39.  7.  9. 37. 23. 52. 48. 62. 70. 39. 68. 25. 30.
 71. 49. 63. 56.  6. 38. 75. 57.  4. 45.  7. 21. 12. 61. 71. 12. 14. 53.
 30. 59. 18. 11. 66. 75. 30. 74. 30. 61. 56. 56. 34. 45. 17. 72. 36. 22.
 41. 40. 16. 21. 45. 28. 23. 17. 10. 61. 46.  3. 60.  3.  9. 18. 48. 25.
 43. 50.  5. 27. 53.  0. 37. 12. 43. 27. 14. 19. 28. 18. 20. 19.  2. 11.
 45. 26. 13. 57. 46.  0. 12. 51. 16. 21.  1. 32. 36. 61. 65. 53. 60.  0.
 26. 34. 26. 18. 14. 55. 41. 69. 49. 45. 31. 37. 19. 69. 45.  0. 63.  9.
 25. 45. 53. 35. 64. 25. 57.  1. 64. 59. 71. 43. 24. 47. 55. 13. 58. 64.
 49. 68. 68. 26. 29. 22. 11.  0.  5.  1. 48. 40. 22. 37. 37. 75.  5.  1.
 68.  9. 61. 54. 46. 47. 40. 37. 55. 36. 19.  9. 50. 75. 46. 39. 66. 43.
 42. 40.  0. 43. 13. 71.  0. 35.  4. 33. 35. 38. 65. 51. 14. 28. 37. 35.
  0.  3. 12. 28. 51. 22. 66. 70. 29. 53. 31. 53. 18. 72. 75. 27.  6. 26.
 24. 33. 22. 52. 47. 15. 75. 10. 27. 64.  1. 73. 43. 62. 11. 43. 58. 30.
 26. 15. 28. 67.  0. 13. 48. 21.  1. 23. 37. 34. 56. 72. 33. 43. 58. 37.
  7. 55. 36. 45.  3. 24. 15. 10. 44.  4. 47. 50. 29. 35. 49. 25. 35. 26.
 39. 63. 73. 38. 54. 14. 73. 49. 23. 16.  4. 25. 35. 50. 26. 28. 48. 17.
 32.  0. 65. 65. 10. 59. 59. 28. 12. 52.  2. 48.  3. 22. 16. 68. 44. 27.
 29. 32. 73. 73. 58. 48. 59. 43. 29.  3.  3. 24. 17. 34.  0. 42. 13. 57.
 38. 19. 31. 38. 56. 36. 44. 20.  6. 38. 23. 17. 57. 41. 48. 53. 30. 36.
 44. 38. 57. 44. 65.  6. 45. 24. 70. 65. 75. 24. 52. 26. 48. 39. 56. 15.
 52.  1. 13. 18. 33. 35. 73. 50. 20. 56. 26. 70. 53. 75.]","[ 8. 17. 20.  3. 14. 18.  3. 10.  1. 19. 13. 17.  1. 13.  5.  7. 11.  1.
 20. 20.  4.  7.  9. 11.  6. 14.  9. 18. 21.  4. 25. 22. 17. 11. 16.  5.
 15.  6. 25.  6.  3. 24. 14. 11. 16. 17.  2.  2. 25.  9.  0. 19. 13. 13.
 13.  9. 21.  9. 12. 17.  7. 25.  0. 21. 12.  5. 15. 13.  0. 25. 12.  1.
 20. 17. 17.  9. 14. 19. 15. 14.  4.  0. 22.  5. 12. 23. 23. 20. 18. 16.
 25. 13. 19.  8.  4.  2. 17.  9. 24. 11.  1.  5. 21.  3. 24.  9.  6. 16.
 11. 15.  2. 17.  8. 16.  2. 16.  2. 20. 20. 16. 20.  4. 22.  6. 11. 15.
  8. 11. 13. 19. 13. 12. 15. 10.  5. 15.  6.  8. 23. 21. 14. 21. 18.  9.
 25. 13.  9. 16.  1.  3. 24.  5.  4. 14. 14. 16.  3. 15.  0.  0.  7. 22.
 10. 20. 12.  8. 24. 24. 16.  0. 22. 25. 10.  6. 10.  5. 12. 25. 16.  9.
 16. 13. 25.  5. 13.  7. 12.  9.  2.  2. 14.  0. 23.  0. 10.  5. 11.  6.
  7. 18.  7.  7.  9.  0. 13.  4. 11.  3.  5.  2. 11.  6.  9.  7.  0. 24.
  9. 19. 14. 10. 14.  7. 24. 16. 21. 12. 19.  9. 12.  3. 23. 16. 22.  0.
  8.  7. 16. 22. 24.  8. 20. 22. 25. 16. 13. 14. 13.  0. 10.  0. 25.  9.
 21. 15. 12. 11. 22. 18. 19.  4. 18. 16. 25. 14.  5. 18. 19. 10.  4.  7.
  8.  6. 24. 10.  7.  6.  7.  0.  9.  0.  8. 12. 10. 15. 12. 25.  3. 25.
 20. 13. 20. 14.  6.  4. 12. 12. 22. 11.  4. 14. 17. 10. 10. 16.  5. 14.
 18. 18. 25. 11.  0. 21.  0. 13.  1.  9. 14. 12. 25.  5.  4. 17. 14. 16.
 23.  1.  9. 16. 13. 21. 19. 24. 17. 20. 11.  5.  8.  2. 23. 14.  0. 19.
  9. 14. 23. 25. 18.  2.  0. 10. 10. 14. 22. 25. 11. 13. 18. 11.  9. 16.
  6.  2.  3.  1.  0.  5. 10. 21.  1. 20.  5.  8. 10. 25. 14. 16. 18. 16.
  6. 23. 15. 15.  0. 19. 16.  8. 20.  7. 17. 11. 10. 11. 18. 10. 12. 16.
  7. 12. 24. 16. 19. 10. 25.  9.  2.  6.  0. 11.  4.  8.  9.  8. 21. 25.
 11.  6. 17. 19.  5. 20. 10.  6.  5. 12.  0. 13.  0. 10.  2.  5. 11.  6.
  6. 12. 16. 24. 12.  4. 19. 11.  5.  5. 17. 13. 12. 11.  0. 15.  2.  5.
 12. 22. 15. 14. 17. 11.  6.  8.  1. 10. 24. 12.  3. 10. 12.  4.  8. 18.
 11. 13. 21. 23. 15.  1. 11. 20. 20. 23. 22. 12. 14. 17. 13. 11. 14.  5.
 12.  0.  7.  4.  8. 11. 24. 20.  3. 14.  3. 24. 17. 25.]"
run2,g1,23.5,1.5,14.5,60.5,[2.58276801 2.35235678 2.38996342 ... 2.1107227  2.07410905 2.56729383],"[-0.29478387 -0.29039056 -0.2140287  ... -0.1459356  -0.09397021
 -0.54161268]",[0.9292961  0.90666965 0.91958128 ... 0.88492559 0.87066656 0.96351869],[0.15996432 0.18797953 0.1696731  ... 0.19270853 0.17301042 0.23223246],[ 8.  20.  15.5 ... 16.  10.5 19. ],[22.5 23.5 23.  ... 23.5 22.  22.5],"[ 6.  69.  54.  14.  33.  38.5 36.  17.5 38.   5.5 40.5 33.5 24.  38.5
 38.  38.5 46.  45.  45.  72.5 29.5 47.5 34.5 67.5 30.  70.5 23.5 42.
 38.5 44.5 27.  28.  49.   3.  40.   1.5 11.5  3.5 28.5 17.5 34.5 35.
  4.5 56.5 28.  36.5 66.5 11.5 69.5 45.5 21.  40.5 12.  41.5 41.5 60.
 43.   0.  54.5 47.5 37.  68.5 54.  13.5 68.  41.  72.5 17.  63.  11.
 33.5 35.5 13.5 39.5 15.5 22.  59.  67.  51.  22.5 46.  42.  65.  36.
 11.  51.  43.  72.5  9.  22.5 36.5 10.  32.  18.5 57.  49.  47.  64.
 10.  40.  32.  58.5 53.5 65.5 68.  47.5 58.  52.5 51.5 16.5 40.5 15.
 75.  62.  38.  72.   0.5 24.  48.  69.5 66.  53.5 27.  27.5 57.  65.
 35.5 14.  50.5  8.5 44.5 49.  46.  35.5 34.5 13.  23.  68.  16.  51.5
 55.5 38.  26.   8.5 47.5 20.  30.5 64.5 54.5 30.5 14.5 75.  44.  15.5
 65.  10.   1.5 26.  51.  26.5 56.  31.5 44.5 70.5 29.  34.  26.  21.5
 31.5 67.5 33.5  3.  29.  44.  40.  49.5 58.5 71.5 52.  10.5 46.  12.
 63.5 54.5 47.5 28.5 27.  73.  57.  11.   8.  35.5 28.  67.5 39.5 40.5
 67.5 20.   7.  58.  31.  38.5 72.   1.  65.  17.  44.5 55.5 54.  27.
 24.5 63.  33.  41.   0.  24.5 16.5  0.   4.  24.5 71.  67.5 50.5 40.5
 46.5 63.  40.  49.5  4.5 38.  42.  20.  48.  43.5 27.5 35.  74.  31.
 39.  27.5 34.  22.5  7.  47.  15.5 18.  50.  36.5 32.5 53.5 25.  52.
 39.5  4.5 36.  69.5 45.  48.5 53.5 72.  27.  14.  11.  29.5  6.5 58.5
 61.5 44.  13.5 46.5 35.5 58.5 55.  21.  21.5 24.  40.5 27.5 17.5 24.
 19.5 54.  49.  51.5 50.  65.  36.5 69.5 28.  58.  51.   6.5 65.  23.5
 40.  50.5 52.  27.5  3.   6.5 54.  37.5 73.5 12.5 17.   9.5 57.5 73.5
 52.  12.5 43.  37.   6.5 46.  33.5 44.5 48.5 33.  21.5 38.5 53.5 47.5
 44.  16.  10.  53.5 23.  63.5  6.  61.5 55.  20.5 23.5 19.5 66.5 46.
 35.  30.5 71.5 57.5 11.  18.  13.5 34.  66.5 73.5 54.  11.5 23.  42.5
 21.5 61.  56.5 20.  25.5 51.5 49.5 49.  31.5 56.5 52.5  7.5 30.5 25.
 44.  10.  39.5 18.5 70.5 47.  65.5 15.5 27.  70.5 19.  46.  21.5 40.
 41.  32.5 44.5 70.  10.   3.5 58.  59.5 31.5 48.5 36.5 41.5 40.  28.
 52.  35.  18.  39.5 56.5 37.  38.  49.5 52.  71.  51.  54.5 33.  22.
 61.  26.  34.5 18.  41.   1.  37.5 37.5 65.  12.5 49.5 74.  45.  32.5
 31.5 34.5 68.  42.5 36.5 16.  15.  21.  18.5 46.  32.  46.5 31.5 23.5
 28.5 32.5 47.5 46.5  6.   5.5 22.5  9.5 27.5 38.  29.  30.   1.5 18.5
 64.5 43.5 57.5 71.5 43.  23.  68.5 62.5 24.5 41.  53.5 33.5 35.5 39.5
 58.5 50.5 74.5 56.   9.5 37.5 50.  61.  25.5 65.5 26.5 27.5 41.5  8.5
 38.  57.5 19.  37.5 48.5 56.5 34.  19.   5.5 59.   6.  22.  56.5 39.
 63.5 57.  31.5 44.5 63.  51.5 22.5 59.5 59.  37.5]","[ 2.  21.   5.5  7.   6.   8.5 15.   0.   9.5  9.  14.  16.5 22.  11.5
 20.  13.  18.   7.5  8.5 20.5 12.  20.  13.  19.  17.5 24.  12.5  3.5
  3.5 10.  21.5  7.5 12.   3.5 11.   1.5  6.   0.   2.   6.5  8.5 13.5
 12.5 15.5  7.5 11.  23.   8.5 24.5  5.  19.  17.  13.  21.   9.5 21.5
  4.5  0.  21.  15.5 16.  23.5 13.  23.  19.   5.  18.   2.  24.   5.
  5.5 10.5  6.5  8.5  2.  11.  13.5 22.5 16.5 10.5 13.   8.  20.  10.
 15.5  8.  18.5 24.5 16.  19.5  7.  13.5  6.5 13.  15.   8.5 15.   6.
 11.5 14.   6.5 13.5 19.5 17.  23.  16.  16.5 14.5 17.   7.5 15.5  4.
 24.  16.   3.5 23.5  6.5 13.5 16.  22.  23.5 17.5  8.5  1.5 17.5 23.
 11.   8.5 22.   5.5 14.5 17.5 14.  21.5 11.   3.   7.  21.5 13.  20.
 14.   4.5 11.5 15.5 17.5  5.5  5.  15.5 18.5 13.5  8.5 12.5 22.   5.
 18.   5.   7.5 19.5 10.5 10.5 19.   6.   0.5 22.5 19.  18.5 10.5  8.5
 12.5 14.5 14.5 10.5 12.   8.5 24.  16.  10.5 19.5 16.   3.5 24.  10.
 18.  11.  12.  17.5 15.5 25.  16.   2.5  8.  12.  17.   3.  19.  11.5
 13.5  8.5  4.5 17.  12.  11.5 23.   0.  20.   4.5  9.5 15.5  6.5 15.
 18.  15.5 11.5 15.5  0.5  6.5 13.   0.5  8.   4.  22.5 20.   1.  13.5
 16.   7.5 20.5 13.   9.5 14.   8.5  4.5 19.5 13.   9.5  5.  24.  18.
  9.5 13.5 11.5 10.5  5.  17.5 17.  19.5 13.5  9.5 16.  24.  21.5 19.
 10.   3.   3.5 21.   2.5 23.  22.  24.5 12.  17.5  3.  20.5  1.  10.
 13.  16.   2.  15.5 12.5  9.5 20.   5.   3.5 24.5 13.  16.  17.  20.5
 10.  19.5  4.5 10.5 15.   7.  15.  18.   4.5 17.5 21.5 20.  21.   4.5
 14.   8.  16.5  8.   0.   6.  21.  16.  13.5  2.   6.   3.5 19.  24.5
 17.   1.   6.5  5.5  3.  10.  16.5 13.5 18.  15.5  6.  14.  19.  24.
 20.  14.5 13.5 22.  20.5 23.   1.5 17.  19.   8.  14.   9.   3.  15.
  5.  11.5 20.  19.5  9.5  6.5  8.  15.  20.  24.5 17.5  2.   9.5 10.
  9.  14.  21.5  3.5 15.  12.5 15.  14.   9.5 19.5 16.5 12.5 14.  19.
  8.   0.5 11.5  4.  16.   8.5 21.5  6.   8.   3.  21.5  5.5 12.5 13.5
  7.5  8.5  9.5 22.  23.5  7.  20.  16.   8.5 10.5 12.  18.  19.5  8.5
 24.  23.5 16.5 18.  20.5 20.   3.  20.  23.5 23.   1.  22.   7.5  8.5
 13.   7.  10.5  8.  15.   0.5 15.  10.  15.  10.  14.5 19.5 11.5 10.
 11.5  9.5  2.5 16.  11.   9.5 11.  14.5  9.5 13.   6.5 22.5  9.5 14.
 16.   4.5 14.  22.5  7.  11.5 19.   6.  17.5  9.   3.  12.   1.   3.5
 19.5 12.5 17.5 23.5  7.5  1.5  5.5 21.   9.5  6.5  0.   8.  10.   9.5
 20.   9.5 23.   9.   5.5  9.   9.5 19.5 11.5  3.   7.5 12.  10.5  0.
  8.  16.  14.  14.5 13.5 24.  14.   0.5  4.  18.5  1.5  6.5 25.  14.5
 18.5 10.  24.  14.5 22.5 16.  12.5 19.5 18.5 20. ]"
