,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"h[0,26]",0.9141,0.0346,0.8598,0.9682,0.0004,0.0003,7894.5636,6586.8484,1.0007
"h[0,27]",0.96,0.022,0.9286,0.9922,0.0002,0.0002,7714.9627,6292.5231,1.0005
"h[0,28]",0.9001,0.0364,0.8443,0.9587,0.0004,0.0003,8247.584,6547.5375,1.0002
"h[0,29]",0.9162,0.033,0.8646,0.9678,0.0004,0.0003,8482.7324,6900.7541,1.0004
"h[0,30]",0.9472,0.0264,0.9078,0.9862,0.0003,0.0002,7458.8377,5896.4405,1.0008
"h[0,31]",0.9402,0.0274,0.9018,0.985,0.0003,0.0002,8107.2587,7003.8976,1.0001
"h[0,32]",0.9521,0.0241,0.9168,0.9888,0.0003,0.0002,8051.3638,6392.7088,1.0019
"h[0,33]",0.9295,0.0302,0.8838,0.977,0.0003,0.0002,8260.4134,6711.4073,0.9998
"h[0,34]",0.9469,0.0258,0.9075,0.9855,0.0003,0.0002,8028.3337,6809.7669,1.0003
"h[0,35]",0.9629,0.0218,0.9323,0.995,0.0002,0.0002,8690.9769,5702.4488,1.0001
"h[0,36]",0.9286,0.0314,0.8814,0.9783,0.0003,0.0002,8216.1974,6135.9867,1.0
"h[0,37]",0.9125,0.0349,0.8595,0.9685,0.0004,0.0003,7173.7092,6277.8231,1.0001
"h[0,38]",0.9615,0.0212,0.9311,0.9911,0.0002,0.0002,8406.5365,6443.7664,1.0004
"h[0,39]",0.9598,0.0218,0.9284,0.9925,0.0002,0.0002,8752.3371,5954.693,0.9999
"h[0,40]",0.9492,0.025,0.9121,0.9871,0.0003,0.0002,8301.5045,6477.5023,1.0009
"h[0,41]",0.9388,0.0281,0.898,0.9833,0.0003,0.0002,8519.2898,7086.4962,1.0003
"h[0,42]",0.895,0.038,0.8337,0.9538,0.0004,0.0003,7573.8138,5714.8874,1.0003
"h[0,43]",0.9393,0.0286,0.8951,0.9825,0.0003,0.0002,8178.9554,6204.8467,1.0002
"h[0,44]",0.9372,0.0284,0.8957,0.9822,0.0003,0.0002,8306.9186,5989.172,1.0005
"h[0,45]",0.9466,0.0261,0.9071,0.9855,0.0003,0.0002,8632.3733,6556.6452,1.0
"h[0,46]",0.9398,0.0283,0.8988,0.9852,0.0003,0.0002,7314.6515,6639.8063,1.0001
"h[0,47]",0.9214,0.0322,0.8716,0.9716,0.0004,0.0003,7752.2444,6157.2942,1.0004
"h[0,48]",0.8815,0.0402,0.8193,0.9461,0.0004,0.0003,8602.4471,6577.239,1.0004
